name,facebook,twitter,website,genre,mtv,,,,,name
Adele,http://www.facebook.com/9770929278,http://www.twitter.com/officialadele,,Pop,http://www.mtv.com/artists/adele/biography,,,,,Adele
Joey + Rory,http://www.facebook.com/15044507815,http://www.twitter.com/joeyandrory,,Country,http://www.cmt.com/artists/joey-rory/biography,,,,,Joey + Rory
Draaco Aventura,http://www.facebook.com/856796091053581,http://www.twitter.com/DraacoAventura,http://www.bandpage.com/draacoaventura,Pop Latino,http://www.mtv.com/artists/draaco-aventura/biography,,,,,Draaco Aventura
Justin Bieber,http://www.facebook.com/309570926875,http://www.twitter.com/justinbieber,http://www.justinbiebermusic.com,Pop,http://www.mtv.com/artists/justin-bieber/biography,,,,,Justin Bieber
Peer van Mladen,http://www.facebook.com/264487966,http://www.twitter.com/Predrag_Jugovic,http://pejaintergroup.eu/Peer_van_Mladen.html,House,http://www.mtv.com/artists/peer-van-mladen/biography,,,,,Peer van Mladen
Chris Janson,http://www.facebook.com/296647641825,http://www.twitter.com/janson_chris,http://www.chrisjanson.com,Country,http://www.cmt.com/artists/chris-janson/biography,,,,,Chris Janson
One Direction,http://www.facebook.com/121930497861753,http://www.twitter.com/onedirection,http://www.onedirectionmusic.com/,Pop,http://www.mtv.com/artists/one-direction/biography,,,,,One Direction
Drake,http://www.facebook.com/83711079303,http://www.twitter.com/drake,http://www.drizzydrake.org/,Hip-Hop/Rap,http://www.mtv.com/artists/drake/biography,,,,,Drake
Carrie Underwood,http://www.facebook.com/5240049567,http://www.twitter.com/carrieunderwood,http://carrieunderwoodofficial.com,Country,http://www.cmt.com/artists/carrie-underwood/biography,,,,,Carrie Underwood
Ed Sheeran,http://www.facebook.com/9189674485,http://www.twitter.com/edsheeran,http://www.edsheeran.com/,Singer/Songwriter,http://www.mtv.com/artists/ed-sheeran/biography,,,,,Ed Sheeran
Taylor Swift,http://www.facebook.com/19614945368,http://www.twitter.com/taylorswift13,http://www.TaylorSwift.com,Pop,http://www.mtv.com/artists/taylor-swift/biography,,,,,Taylor Swift
SayWeCanFly,,,,Pop/Rock,http://www.mtv.com/artists/saywecanfly/biography,,,,,SayWeCanFly
Selena Gomez,http://www.facebook.com/7961985974,http://www.twitter.com/selenagomez,,Pop,http://www.mtv.com/artists/selena-gomez/biography,,,,,Selena Gomez
Chris Brown,http://www.facebook.com/6329881653,http://www.twitter.com/chrisbrown,http://www.chrisbrownworld.com,Pop,http://www.mtv.com/artists/chris-brown/biography,,,,,Chris Brown
